dataset,name,k,solver,time,timeout,numsol,expd,gen,qsize,pr-frontier,pr-sol,pr-fea,pr-post,pr-extra
Dumas,n60w100.004,10,makespan-order-mst,8.078,0,3,62752,593370,18061,141940,0,1,388676,1026252
Dumas,n100w40.001,10,combine,0.007008,0,3,1388,9664,104,1248,0,1,7026,74478
Dumas,n100w40.001,10,makespan-order,0.007721,0,3,1354,9351,181,1215,0,1,6780,71124
Dumas,n100w40.001,10,makespan-order-mst,0.5428,0,3,1248,8823,163,1149,0,1,6424,67198
Dumas,n150w60.004,10,combine,0.5581,0,1,50802,513621,17839,123036,0,1,339783,3607200
Dumas,n150w60.004,10,makespan-order,0.5796,0,1,43513,438637,7770,100961,0,1,294163,3131663
Dumas,n150w60.004,10,makespan-order-mst,37.88,0,1,39363,396497,7121,93206,0,1,263928,2844820
Dumas,n20w40.003,10,combine,0.0001458,0,1,59,201,10,17,0,1,125,423
Dumas,n20w40.003,10,makespan-order,8.528e-05,0,1,58,193,9,15,0,1,120,423
Dumas,n20w40.003,10,makespan-order-mst,0.0005791,0,1,55,185,9,15,0,1,115,393
Dumas,n60w40.004,10,combine,0.002255,0,1,507,3293,93,372,0,1,2414,11527
Dumas,n60w40.004,10,makespan-order,0.002442,0,1,533,3474,82,379,0,1,2562,12098
Dumas,n60w40.004,10,makespan-order-mst,0.05269,0,1,462,2896,70,345,0,1,2089,10159
Dumas,n80w80.003,10,combine,0.2234,0,1,25343,260753,8666,45897,1,1,189512,898507
Dumas,n80w80.003,10,makespan-order,0.3115,0,1,25945,267886,5940,46711,1,1,195229,926580
Dumas,n80w80.003,10,makespan-order-mst,6.954,0,1,21153,212480,3791,38083,1,1,153243,723396
Dumas,n40w80.005,10,combine,0.02027,0,1,3462,30081,1040,4933,0,1,21686,70752
Dumas,n40w80.005,10,makespan-order,0.02208,0,1,3371,29492,592,4809,0,1,21312,69192
Dumas,n40w80.005,10,makespan-order-mst,0.3803,0,1,2755,23813,493,3717,0,1,17341,56673
Dumas,n60w60.001,10,combine,0.01308,0,1,2740,17294,978,4147,0,1,10407,91831
Dumas,n60w60.001,10,makespan-order,0.0135,0,1,2728,17079,941,4019,0,1,10332,91395
Dumas,n60w60.001,10,makespan-order-mst,0.4327,0,1,2606,16131,930,3864,0,1,9661,86947
Dumas,n40w40.005,10,combine,0.0008813,0,1,292,1382,66,253,0,1,837,5276
Dumas,n40w40.005,10,makespan-order,0.00089,0,1,295,1396,79,259,0,1,842,5413
Dumas,n40w40.005,10,makespan-order-mst,0.01203,0,1,287,1360,84,253,0,1,820,5185
Dumas,n20w40.001,10,combine,0.0001283,0,1,81,303,18,42,0,1,180,658
Dumas,n20w40.001,10,makespan-order,0.000189,0,1,86,337,21,49,0,1,202,769
Dumas,n20w40.001,10,makespan-order-mst,0.001255,0,1,77,302,19,46,0,1,179,780
Dumas,n100w60.003,10,combine,0.08559,0,2,11149,94770,1796,16297,0,1,67323,538783
Dumas,n100w60.003,10,makespan-order,0.08807,0,2,11099,94396,2078,15977,0,1,67319,535986
Dumas,n100w60.003,10,makespan-order-mst,4.003,0,2,9504,79507,1511,13785,0,1,56217,463528
Dumas,n40w100.004,10,combine,0.004982,0,1,1170,7722,177,1418,0,1,5134,16841
Dumas,n40w100.004,10,makespan-order,0.005259,0,1,1191,7858,251,1438,0,1,5229,17539
Dumas,n40w100.004,10,makespan-order-mst,0.08147,0,1,1186,7861,284,1533,0,1,5142,17944
Dumas,n40w20.003,10,combine,0.0001959,0,1,86,317,9,32,0,1,199,1538
Dumas,n40w20.003,10,makespan-order,0.0001595,0,1,86,317,9,32,0,1,199,1538
